第一作者,最后作者,年份,期刊,研究,文章_编号,自我参照效应定义(字面),由对照点定义的自我参照效应,标准化的控制条件,任务名称,"是否偏离Rogers, 1977",实验设计,自变量1,自变量2,自变量3,刺激_模态,刺激_内容,刺激_类型,任务_阶段1_名称,任务_阶段2_名称,任务_阶段1_是否在扫描仪内,任务_阶段1_反应类型,任务_阶段1_反应方式,任务_阶段1_总试次,任务_阶段1_每区块(block)内试次,任务_阶段2_是否在扫描仪内,任务_阶段2_反应类型,任务_阶段2_反应方式,任务_阶段2_总试次,任务_阶段2_每区块(block)内试次,功能核磁共振_数据提取_系统,功能核磁共振_数据提取_磁场,功能核磁共振_软件_数据分析,功能核磁共振_结果_条件,功能核磁共振_结果_文件名称
Wang,Han,2012,Social Cognitive and Affective Neuroscience,1,Wang_2012_Soc CognAffectNeurosci,NA,"self>Liu-Xiang, self>father, self>best friend, self>FONT","self>close,self>celebrity,self>nonPerson",trait_judgmnet,yes,within,"self, Mother, Father, Best friend, Liu-Xiang, Font",NA,NA,visual,traits,"positive, negative",judgment,NA,yes,"yes,no",press buttons,288,8,no,"old, new",press buttons,384,NA,GE Signa Scanner,3T,SPM2,"self, mother, other, font",Wang_2012_SocCognAffectNeurosci.txt
Wang,Sui,2016,Frontiers in Psychology,1,Wang_2016_FrontPsychol,NA,self>other,self>celebrity,trait_judgment,no,within,"contradictory, non-contradictory","self, other",NA,visual,traits,"positive, negative",judgment,retrieval_out_scanner,yes,"yes, no",Press keys,128,32,NA,NA,NA,NA,NA,Philips Achieva system,3T,SPM8,"self, other",Wang_2016_FrontPsychol.txt
Wu,Zhang,2010,Soc Cogn Affect Neurosci,1,Wu_2010_SCAN,NA,"self>other, self>mother","self>close,self>celebrity",trait_judgmnet,no,between,"self, mother, other, font","Han,Tibetan",NA,visual,traits,"positive, negative",judgment,retrievalRK_out_scanner,yes,"yes,no",press buttons,192,48,no,"old, new",press buttons,384,NA,Siemens Trio scanner,3T,SPM2,"self, other, general knowledge",Wu_2010_SCAN.txt
Y. Zhu,Han,2007,NeuroImage,1,Y. Zhu_2007_Neuroimage,Self-descriptive traits are better remembered than traits descriptive of others (the self-reference effect.,self>font,"self>close,self>stranger,self>nonPerson",trait_judgmnet,no,between,"Western , Chinese","Task: self, mother, other or font",NA,visual,traits,"positive, negative",rating,retrievalRK_out_scanner,yes,"yes, no",press buttons,192,12,no,"old, new",press buttons,384,NA,Siemens Trio scanner,3T,SPM2,"self, mother, other, font",Y. Zhu_2007_Neuroimage.txt
Yamawaki,Tsukiura,2017,Human Brain Mapping,1,Yamawaki_2017_HumBrainMapp,The memory enhancement related to the self is known as the self-reference effect (SRE).,"self > friend , self> other",self>close,friendship_judgment,yes,within,"self, friend, and other",NA,NA,visual,pictures,"male, female",judgment,NA,yes,definitely inappropriate; probably inappropriate; probably appropriate; definitely appropriate,press buttons,216,72,no,"definitely old, probably old; probably new; definitely new",press buttons,288,96,Siemens Trio scanner,3T,SPM8,"self, Friend, and Other",Yamawaki_2017_HumBrainMapp.txt
Yang,Zhang,2012,Neuropsychologia,1,Yang_2012_Neuropsychologia,NA,"self>semantic, other > semantic, self > other","self>close, self>nonPerson",trait_judgmnet,no,within,"self, other, general knowledge",NA,NA,visual,statements,"positive, negative",judgment,retrieval_out_scanner,yes,"like me, unlike me",press buttons,144,48,NA,NA,NA,NA,NA,Siemens TRIO MRI scanner,3T,Brain Voyager QX v2.3 software,"self, other",Yang_2012_Neuropsychologia.txt
Yaoi,Osaka,2015,Scientific Reports,1,Yaoi_2015_FrontHumNeurosci,The self-reference effect (SRE) is defined as better recall or recognition performance when the memorized materials refer to the self.,self > other,self>celebrity,trait_judgment,no,within,"self, other",NA,NA,visual,traits,"positive, negative",rating,NA,yes,"almost never, rarely, sometimes, or almost always",Press buttons,NA,NA,yes,"yes, no",press buttons,NA,NA,Siemens MAGNETOM Verio,3T,SPM 5,"self, other",Yaoi_2015_FrontHumNeurosci.txt
Yin,Egner,2021,Frontiers in Human Neuroscience,1,Yin_2021_JNeurosci,A pervasive bias toward preferentially processing self-related information compared with other-related information,"self-friend>friend-stranger, self-friend&self-stranger&friend-stranger>blank",self>celebrity,working_memory_ location,yes,within,"self-match, friend-match, stranger-match",NA,NA,visual,colored circle,colored circle,rating,retrieval_in_scanner,no,"match, mismatch",press keys,30,30,NA,"yes,no",press keys,192,24,Siemens Magnetom Trio TIM,3T,SPM12,"self, friend, stranger",Yin_2021_JNeurosci.txt
Yoshimura,Yamawaki,2009,The Journal of Neuroscience,1,Yoshimura_2009_BrainCogn,"Material processed with reference to oneself is more readily remembered, which is called the self-reference effect","self/negative > other/negative, self/negative > semantic/negative, self/positive > semantic/positive; self > other",self>stranger,trait_judgmnet,no,within,"self, other(Prime minister), semantic, letter",NA,NA,visual,traits,"positive, negative",judgment,NA,yes,"yes, no",press buttons,320,5,no,"yes, no",press buttons,208,NA,Magnex Eclipse Power Drive 250 MR scanner,1.5T,SPM2,"self, other, semantic",Yoshimura_2009_BrainCogn.txt
Yang,Han,2016,Brain and Cognition,1,Yang_2016_SciRep,NA,"self-Agree-self-Disagree, self–Friend, Reflected–self","self>celebrity,self>nonPerson",trait_judgmnet,no,within,"self, celebrity","self, social feedback",NA,visual,traits,"positive, negative",judgment,retrieval_out_scanner,yes,"not at all like me, most like me strongly disagree, strongly agree",press buttons,336,6,NA,NA,NA,NA,NA,Siemens TRIO MRI scanner,3T,NA,"self, celebrity",Yang_2016_Nature.txt
Zeng,Yang,2021,Journal of Personality,1,Zeng_2021_JournalPers,NA,"Personal self-worth > control, Relational self-worth > control , Collective self-worth >control",self>nonPerson,trait_judgmnet,yes,within,"personal, relational, and collective self-worth, control)",NA,NA,visual,statements,"personal, relational, collective or contro",rating,NA,yes,evaluation of agreement: 1-4/1-7,NA,160,40,NA,NA,NA,NA,NA,Siemens Trio scanner,3T,SPM12,"personal, relational, collective self-worth, control",Zeng_2021_JournalPers.txt
Zhang,Y.Zhu,2006,Science in China: Series C Life Sciences,1,Zhang_2006_SciChinaLifeSci_exp1,Self-reference effect is observed when the degree of self-reference of the to-be-remembered materials is varied.,"self > semantic, self > LuXun","self>celebrity,self>nonPerson",trait_judgmnet,no,within,"self, mother, semantic",NA,NA,visual,traits,"positive, negative",judgment,retrievalRK_out_scanner,yes,"yes, no, not sure",press buttons,108,9,no,"old, new",press buttons,168,NA,GE Signa Scanner,1.5T,SPM99,"self, mother, semantic",Zhang_2006_SciChinaLifeSci.txt
Zhang,Y.Zhu,2006,Science in China: Series C Life Sciences,2,Zhang_2006_SciChinaLifeSci_exp2,Self-reference effect is observed when the degree of self-reference of the to-be-remembered materials is varied.,"self > semantic,self > Mother","self>close,self>nonPerson",trait_judgmnet,no,within,"self, mother, semantic",NA,NA,visual,traits,"positive, negative",judgment,retrievalRK_out_scanner,yes,"yes, no, not sure",press buttons,108,9,no,"old, new",press buttons,168,NA,GE Signa Scanner,1.5T,SPM99,"self, mother, semantic",Zhang_2006_SciChinaLifeSci.txt
Zhang,Meer,2015,NeuroImage,1,Zhang_2015_Neurolmage,NA,"self > semantic, other > semantic",self>nonPerson,trait_judgment,no,within,"self, other, semantic",NA,NA,visual,statements,"postive, negative, mental, physical",judgment,NA,yes,"yes, no",press buttons,180,5,NA,NA,NA,NA,NA,Tesla whole body scanner,3T,SPM8,"self, other, semantic",Zhang_2015_Neurolmage.txt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
